Mech',Matches Played,Wins,Losses,Ratio,Kills,Deaths,Ratio,Damage Done,XP Earned,Time Played
ARCTIC CHEETAH ACH-E,20,8,12,0.67,3,14,0.21,"4,644","17,997",02:19:47
ARCTIC CHEETAH ACH-PRIME(C),2,1,1,1.00,2,1,2.00,467,0,00:12:41
ARCTIC WOLF ACW-1,2,1,1,1.00,1,1,1.00,516,"6,548",00:09:01
ANNIHILATOR ANH-2A,48,27,21,1.29,21,41,0.51,"18,313","64,999",04:31:24
TEMPEST,42,14,28,0.50,35,32,1.09,"11,569","56,213",2 days 15:18:12
THE BOAR'S HEAD,5,3,2,1.50,6,3,2.00,"2,554","6,772",00:31:39
ATLAS AS7-D,34,14,20,0.70,19,28,0.68,"11,772","41,681",04:03:18
ATLAS AS7-D-DC,175,101,73,1.38,103,140,0.74,"61,034","225,792",1 day 03:47:20
ATLAS AS7-K3,42,24,16,1.50,19,37,0.51,"12,142","67,306",05:58:35
ASSASSIN ASN-23,59,31,28,1.11,40,42,0.95,"15,900","97,112",07:31:29
AWESOME AWS-9M,60,27,32,0.84,53,52,1.02,"20,017","79,480",09:19:35
BLACKJACK BJ-2(L),4,3,1,3.00,2,2,1.00,910,"8,425",00:26:02
BLACK KNIGHT BL-7-KNT,21,9,10,0.90,10,17,0.59,"6,207","23,017",02:10:40
BATTLEMASTER BLR-2C(C),7,3,4,0.75,2,6,0.33,"1,620",0,00:45:28
CHARGER CGR-1A1,32,21,10,2.10,20,15,1.33,"6,623","42,500",04:42:40
CHARGER CGR-1A5,48,31,16,1.94,20,30,0.67,"9,205","61,971",08:26:51
CHAMPION CHP-1NB,201,87,113,0.77,123,155,0.79,"60,005","248,333",20:29:47
INVICTUS,16,7,8,0.88,6,13,0.46,"5,195","31,050",01:52:46
COMMANDO COM-1D,730,394,323,1.22,511,490,1.04,"232,384","1,219,929",5 days 06:10:09
CORSAIR COR-7A,253,123,124,0.99,161,196,0.82,"85,849","308,903",1 day 18:16:53
CYCLOPS CP-10-Q,28,12,13,0.92,19,26,0.73,"10,001","32,654",03:32:41
CATAPULT CPLT-A1,13,6,7,0.86,11,6,1.83,"4,080","32,692",00:29:43
CATAPULT CPLT-A1(C),15,4,11,0.36,1,14,0.07,"3,290",0,01:51:08
CATAPULT CPLT-C4,77,37,39,0.95,51,57,0.89,"27,378","99,230",08:22:16
CRAB CRB-27B,13,7,6,1.17,8,9,0.89,"2,649","14,955",01:14:01
CRAB CRB-27B(C),1,0,1,0.00,1,1,1.00,466,0,00:06:22
CRUSADER CRD-3R,1,0,1,0.00,0,1,0.00,213,293,00:03:03
CRUSADER CRD-5K,2,1,1,1.00,1,1,1.00,844,"3,819",00:15:49
CRUSADER CRD-6T,2,0,2,0.00,0,1,0.00,177,"1,150",00:02:43
CRUSADER CRD-6T(P),4,0,4,0.00,5,4,1.25,"1,424","3,017",00:18:59
CRAEL,38,21,17,1.24,43,31,1.39,"16,398","72,600",03:32:52
CATAPHRACT CTF-4X,41,19,22,0.86,30,31,0.97,"16,437","59,897",04:40:53
DERVISH DV-6MR,102,54,47,1.15,103,81,1.27,"49,963","203,131",09:58:30
DERVISH DV-7D,30,23,7,3.29,14,21,0.67,"6,746","55,963",02:38:03
DIRE WOLF DWF-A,1,1,0,1.00,1,1,1.00,306,"2,970",00:06:22
DIRE WOLF DWF-PRIME,86,38,48,0.79,52,72,0.72,"29,481","101,222",08:36:28
ULTRAVIOLET,52,23,28,0.82,44,35,1.26,"28,816","70,705",06:20:23
EBON JAGUAR EBJ-B,13,5,7,0.71,5,9,0.56,"3,216","17,994",01:07:47
EBON JAGUAR EBJ-PRIME(C),2,1,1,1.00,1,1,1.00,361,0,00:13:08
ENFORCER ENF-4R(C),38,16,20,0.80,15,30,0.50,"6,068",0,05:33:49
EXECUTIONER EXE-A,16,7,9,0.78,5,9,0.56,"5,145","25,321",01:34:11
FLEA FLE-20,97,49,46,1.07,67,60,1.12,"28,656","133,610",13:02:12
FAFNIR FNR-5,110,63,47,1.34,109,70,1.56,"45,950","167,158",14:36:13
FIRESTARTER FS9-A,11,5,6,0.83,7,6,1.17,"2,788","13,552",01:03:19
EMBER,30,18,12,1.50,27,17,1.59,"9,547","95,663",03:15:18
FIRESTARTER FS9-H,67,28,39,0.72,24,47,0.51,"11,658","51,500",06:23:18
FIRESTARTER FS9-S(C),1,0,1,0.00,0,1,0.00,133,306,00:03:43
GRID IRON,9,3,6,0.50,6,6,1.00,"3,039","8,048",00:53:07
HIGHLANDER HGN-733C(C),43,18,24,0.75,7,37,0.19,"6,822",0,05:16:27
HELLSPAWN HSN-8P,15,7,7,1.00,9,11,0.82,"4,409","18,447",01:31:46
INCUBUS INC-5(C),1,0,1,0.00,0,1,0.00,220,"3,059",00:02:30
JAGERMECH JM6-A(C),13,4,9,0.44,4,12,0.33,"2,153",0,01:29:41
JENNER IIC JR7-IIC,8,4,4,1.00,3,7,0.43,"1,668","5,740",00:48:09
JENNER IIC JR7-IIC-2,20,11,9,1.22,11,15,0.73,"6,553","28,520",01:51:03
JENNER IIC JR7-IIC(C),4,2,2,1.00,4,4,1.00,"1,137",0,00:20:39
JAVELIN JVN-10P,1,0,1,0.00,0,1,0.00,145,90,00:04:39
JAVELIN JVN-11A,4,3,1,3.00,0,1,0.00,833,"7,532",00:27:07
KODIAK KDK-3(C),8,2,6,0.33,3,6,0.50,"1,155",0,00:47:48
KIT FOX KFX-C,192,83,109,0.76,100,123,0.81,"43,424","162,070",1 day 02:57:42
KIT FOX KFX-G,139,61,78,0.78,74,103,0.72,"29,108","123,382",15:14:07
KIT FOX KFX-P,1,1,0,1.00,0,0,0.00,128,"1,930",00:06:56
PURIFIER,53,30,23,1.30,33,25,1.32,"22,948","80,121",08:21:47
KIT FOX KFX-S,129,59,68,0.87,72,75,0.96,"34,694","144,652",14:40:17
KING CRAB KGC-001,139,67,72,0.93,88,114,0.77,"54,041","166,870",12:54:18
LINEBACKER LBK-H(C),2,0,2,0.00,1,2,0.50,614,0,00:09:58
REDLINE,1,1,0,1.00,0,0,0.00,0,"2,142",00:02:47
LOCUST LCT-1V,51,27,23,1.17,40,28,1.43,"14,686","67,283",06:17:03
LOCUST LCT-3S,11,6,4,1.50,1,9,0.11,550,"11,781",00:46:02
MARAUDER MAD-3R,2,2,0,2.00,0,2,0.00,182,"2,896",00:10:13
MARAUDER II MAD-4HP,38,21,16,1.31,26,26,1.00,"15,525","55,218",05:25:09
MARAUDER IIC MAD-IIC-A,12,5,7,0.71,3,10,0.30,"2,495","12,003",01:08:40
MAULER MAL-1R,96,46,50,0.92,60,79,0.76,"37,700","126,554",09:45:58
MAULER MAL-2P(S),9,2,7,0.29,5,8,0.63,"2,310","9,342",00:53:05
MAD CAT MK II MCII-4,244,120,121,0.99,161,154,1.05,"97,352","253,965",1 day 06:14:07
EBON DRAGOON,13,10,3,3.33,10,5,2.00,"4,301","23,028",01:28:33
MIST LYNX MLX-G,59,31,27,1.15,59,33,1.79,"18,132","153,513",08:12:57
MIST LYNX MLX-PRIME(C),2,1,1,1.00,3,1,3.00,719,0,00:13:20
NOVA CAT NCT-PRIME,3,1,2,0.50,1,2,0.50,"1,206","3,870",00:26:41
NIGHT GYR NTG-D(CS),22,12,10,1.20,8,17,0.47,"6,776","29,303",02:04:37
NOVA NVA-S(C),31,12,18,0.67,7,21,0.33,"6,206","51,927",03:24:24
ORION IIC ON1-IIC-C,5,4,1,4.00,5,5,1.00,"2,573","11,168",00:21:54
ORION ON1-VA,33,19,14,1.36,25,28,0.89,"8,784","38,826",09:41:28
PIRANHA PIR-A,138,77,61,1.26,89,79,1.13,"34,463","214,682",15:49:10
PANTHER PNT-10K(C),34,10,24,0.42,7,28,0.25,"3,909",0,03:59:15
PHOENIX HAWK PXH-1B,8,2,6,0.33,4,7,0.57,"1,612","9,421",00:58:31
FIREBALL,23,12,11,1.09,16,15,1.07,"6,506","51,027",02:24:39
PHOENIX HAWK PXH-2(C),25,8,17,0.47,6,21,0.29,"3,678",0,04:55:19
IV-FOUR,81,42,39,1.08,63,67,0.94,"30,977","130,224",11:18:53
RIFLEMAN IIC RFL-IIC-2,52,19,32,0.59,31,45,0.69,"17,202","48,490",04:58:05
BOLT,29,16,12,1.33,20,24,0.83,"9,658","37,328",03:02:44
RAVEN RVN-3L,3,1,2,0.50,0,2,0.00,354,"3,345",00:20:59
HUGINN,14,6,8,0.75,9,12,0.75,"3,361","10,899",01:06:50
STORMCROW SCR-PRIME(C),1,1,0,1.00,1,0,1.00,664,0,00:08:05
SPIDER SDR-5D,509,280,226,1.24,452,285,1.59,"196,861","2,063,381",12 days 08:05:42
SPIDER SDR-5D(P),11,8,3,2.67,14,5,2.80,"5,394","21,724",01:19:34
SPIDER SDR-5K,165,102,63,1.62,165,86,1.92,"56,915","392,878",22:47:31
SPIDER SDR-5K(C),12,3,9,0.33,4,10,0.40,"1,953",0,01:05:54
SPIDER SDR-5V,46,21,23,0.91,13,33,0.39,"7,392","58,503",11:22:28
ANANSI,499,243,256,0.95,272,313,0.87,"137,876","693,167",2 days 09:52:07
SHADOW CAT SHC-P,2,1,1,1.00,0,2,0.00,654,"2,436",00:10:51
SHADOW CAT SHC-PRIME(C),6,3,3,1.00,0,5,0.00,"1,844",0,00:47:04
SHADOW HAWK SHD-2H,32,9,23,0.39,8,28,0.29,"10,734","31,669",02:57:22
SHADOW HAWK SHD-2K,40,22,17,1.29,18,31,0.58,"11,975","52,901",03:44:57
SUN SPIDER SNS-D,4,2,2,1.00,5,3,1.67,"2,092","10,560",00:26:53
STALKER STK-4N,9,7,2,3.50,4,5,0.80,"2,599","18,734",00:58:57
TIMBER WOLF TBR-C(C),49,13,34,0.38,28,38,0.74,"15,581","63,549",06:04:55
TOP DOG,160,78,81,0.96,98,112,0.88,"55,409","246,149",18:47:25
URBANMECH UM-R60L,4,2,2,1.00,2,2,1.00,925,"6,100",00:25:25
SNOWBALL,48,18,30,0.60,19,34,0.56,"11,112","52,300",04:54:52
URBANMECH UM-R68,3,1,2,0.50,0,3,0.00,688,"12,952",00:17:34
URBANMECH UM-R80,19,7,12,0.58,8,8,1.00,"4,343","57,426",05:44:51
URBANMECH UM-R80(L),18,11,6,1.83,3,10,0.30,"1,911","22,048",02:31:54
UZIEL UZL-2S,218,117,101,1.16,169,139,1.22,"89,342","337,791",23:54:05
UZIEL UZL-3P(C),10,4,6,0.67,2,8,0.25,"1,571",0,00:23:31
UZIEL UZL-6P,12,7,5,1.40,8,10,0.80,"4,107","19,990",01:31:16
BELIAL,20,9,11,0.82,7,17,0.41,"7,316","27,649",01:56:06
VIPER VPR-F,32,15,16,0.94,16,23,0.70,"9,909","58,162",03:01:57
WARHAWK WHK-C(C),9,7,2,3.50,7,4,1.75,"2,490",0,01:20:30
WARHAMMER WHM-6D,4,4,0,4.00,3,3,1.00,"1,062","9,367",00:25:42
WARHAMMER WHM-6R,246,112,128,0.88,107,177,0.60,"65,317","249,233",1 day 17:30:13
WARHAMMER WHM-7S,279,142,132,1.08,240,217,1.11,"109,227","404,149",1 day 17:12:57
